id,Week,Factory,Order,Grade,Product,Color,Substance,EndUser,Status,sqft,Sides,W,B,M,S,Balance,WP or NWP,V or T,ETD,RT Date
1,12,PLV,P262675,BV,Slippery WP,Silver Birch 13-4403tpg,1.46,WWW / Merrell,NR,847,107.64,,2,,,847,WP,T,1-Mar,10-Apr
2,11,PTT,P263698,BR II,Maldova,Black,1.82,WWW / Sperry M,NR,3669,240.88,,5,,,3669,NWP,V,11-Mar,
3,10,GCM,P264027,C,Riptide galloper ,Black#7465,2.02,Timberland,NR,15000,200,1,,,,15000,WP,V,19-Mar,
4,11,PY5M,P264579,B/BV,Waterbuck WP,Wheat #00115,2.02,Timberland,CQC/Spray/2Vacc/3HangD/NR/9Retan/8RTR,50000,600,3,,,,-15.4,WP,V,19-Mar,
5,10,FTE,P263810,B/BV,Slippery WP,Archaeo Brown 2GN(FTE),1.46,Nike,CQC/Togg/Buff/NR/2Retan/RTR,38350,500,2,,,,38350,WP,T,21-Mar,
6,11,FSQ,P264117,C,Highland WP,Black,1.46,Keen / Rofu,NR,6400,253.76,1,,,,6344.3,WP,V,22-Mar,
7,10,WHV,P264294,BR II,Virginia,Bone,1.24,Dr. Martens,NR,984,280,1,,,,717.4,NWP,T,25-Mar,
8,11,KMC,P264656,CV,Muddy River WP 83,Brown Sugar 17-1134tpg,1.68,WWW / CAT,RTR,1600,236,1,,,,-0.1,WP,T,25-Mar,
9,11,NR,P263638,CV,Muddy River WP 83,Bungee Cord 18-0513 TPG,1.46,Shoefabrik / Helly Hansen,RTR,3468,211,1,,,,3468,WP,T,27-Mar,
10,12,SEM,P264657,BV,Superbuc,Black,1.46,Clarks UK,NR,400,240,1,,,,216.9,WP,V,28-Mar,
11,12,KMV2,P265167,BV,Slippery,Pavement 19-3900tpx,1.46,WWW / CAT,NR,400,116.48,,2,,,321.8,NWP,T,30-Mar,
12,12,WHV,P265294,BR II,Virginia,Bone,1.24,Dr. Martens,NR,6019,280,1,,,,6019,NWP,T,31-Mar,
13,13,GDT,P265359,C,Chase WP,Black,1.24,Dansko,NR,4242,253.16,,5,,,3994.4,WP,V,5-Apr,
14,13,WHV,P265042,BV,Superbuc RB,Black,2.02,Clarks UK,NR,2522,100.88,,2,,,2522,NWP,V,8-Apr,
15,12,JCV1,P265240,C,Riptide galloper SP,Black #7465,2.02,Timberland,NR,3045,220,1,,,,3045,WP,V,9-Apr,
16,13,VSH1,P265969,C,Splendid,Black NB 1000018,1.24,New Balance,NR,4787,520,,11,,,4787,NWP,V,10-Apr,
17,14,YLV,P265026,C,Georgia,Leather Brown,1.24,Eddie Bauer,NR,1939,77.56,,2,,,1939,NWP,v,12-Apr,
18,14,YLV,P265027,C,SHAUN,Black,1.24,Eddie Bauer,NR,2013,80.52,,2,,,2013,NWP,V,12-Apr,
19,13,SRL,P265587,C,Whirlpool WP,Jet Black 19-0303tpg,1.24,North Face,NR,5430,240,,5,,,5124.9,WP,V,44300,
20,14,SEVT,P266131,C,Janssen,White,1.24,Everlane,NR,1238,48.52,,1,,,1213,NWP,V,44302,
21,14,PYV2,P267375,C,Everglade,Black #2242,2.02,Timberland,NR,26175,400,2,,,,26175,WP,V,44306,
22,16,SSC,P268117,CV,Yogi,Bark#2757,1.68,Timberland,NR,14973,500,2,,,,14973,NWP,T,44310,
23,16,PYV2,P268147,CV,Rancher,Tempest #21826,1.68,Timberland,NR,2418,94.56,,2,,,2364.4,WP,T,44310,
24,16,JCV1,P268135,CV,Rancher,Tempest #21826,2.02,Timberland,NR,3745,176,1,,,,3745,WP,T,44310,
25,16,JCV1,P268137,CV,Rancher,Worcester #23556,2.02,Timberland,NR,4842,164.8,1,,,,4120.1,WP,T,44310,
26,16,FSF,P268111,CV,saddleback WP,Pewter#1266B,1.68,Timberland,NR,2354,92.04,,2,,,2300.9,WP,V,44312,
27,16,FSF,P268584,C/CV/B/BV,Overlord OHP WP,Grapeleaf #6867B,1.46,Timberland,NR,543,200,1,,,,543,WP,T,44313,
28,14,PY5M,P267324,B/BV,Waterbuck WP,Wheat #00115,1.68,Timberland,NR,25574,240,1,,,,25574,WP,V,44316,
29,10,YCH,P263400,CV,Workhorse WP,Real Brown,1.68,Rocky,NR/Retan,8447,181,1,,,,8447,WP,V,44316,
30,16,SP,P268158,C,Waterbuck WP,Black #7470,1.24,Timberland,NR,890,35.6,,1,,,890,WP,V,44319,
31,14,PY5M,P267335,BV,Waterbuck WP,40th Ruby#2131A,1.68,Timberland,NR,30641,480,2,,,,30641,WP,V,44323,
